iter	Passed	Remaining
0	98	98150
1	132	66178
2	170	56778
3	211	52656
4	250	49948
5	286	47498
6	322	45741
7	359	44578
8	398	43915
9	434	43045
10	467	42030
11	500	41196
12	534	40609
13	572	40322
14	609	40050
15	651	40053
16	685	39626
17	718	39207
18	752	38831
19	794	38911
20	834	38905
21	871	38756
22	909	38629
23	946	38477
24	990	38615
25	1030	38598
26	1076	38798
27	1113	38670
28	1147	38410
29	1178	38097
30	1213	37945
31	1249	37798
32	1282	37576
33	1319	37480
34	1354	37342
35	1389	37203
36	1431	37258
37	1481	37511
38	1530	37711
39	1572	37744
40	1613	37746
41	1655	37768
42	1696	37759
43	1738	37777
44	1783	37841
45	1823	37828
46	1865	37832
47	1908	37846
48	1949	37844
49	1992	37853
50	2032	37818
51	2075	37844
52	2118	37856
53	2161	37873
54	2204	37875
55	2243	37825
56	2278	37697
57	2323	37730
58	2355	37570
59	2399	37585
60	2435	37493
61	2468	37340
62	2503	37231
63	2543	37204
64	2576	37065
65	2610	36947
66	2652	36932
67	2684	36790
68	2717	36664
69	2756	36625
70	2791	36522
71	2824	36406
72	2862	36345
73	2898	36273
74	2937	36233
75	2982	36256
76	3023	36236
77	3075	36359
78	3120	36382
79	3163	36380
80	3207	36389
81	3248	36366
82	3291	36364
83	3339	36420
84	3382	36415
85	3428	36442
86	3472	36442
87	3516	36446
88	3561	36451
89	3611	36515
90	3651	36477
91	3696	36483
92	3740	36484
93	3782	36459
94	3818	36376
95	3858	36335
96	3895	36260
97	3928	36161
98	3967	36108
99	4007	36066
100	4043	35990
101	4085	35965
102	4119	35876
103	4152	35776
104	4184	35666
105	4223	35617
106	4259	35550
107	4292	35453
108	4325	35359
109	4356	35248
110	4387	35140
111	4419	35044
112	4450	34932
113	4485	34857
114	4524	34819
115	4561	34759
116	4595	34684
117	4634	34640
118	4667	34552
119	4700	34467
120	4736	34407
121	4768	34316
122	4801	34232
123	4835	34159
124	4866	34067
125	4897	33972
126	4932	33908
127	4965	33827
128	4997	33742
129	5032	33680
130	5067	33613
131	5097	33522
132	5129	33436
133	5163	33372
134	5196	33297
135	5227	33208
136	5262	33152
137	5296	33084
138	5327	33000
139	5358	32919
140	5396	32876
141	5432	32824
142	5467	32767
143	5509	32749
144	5544	32696
145	5580	32643
146	5616	32590
147	5655	32555
148	5691	32508
149	5731	32481
150	5765	32416
151	5798	32349
152	5834	32302
153	5873	32265
154	5909	32215
155	5948	32181
156	5981	32117
157	6016	32063
158	6051	32009
159	6090	31974
160	6128	31934
161	6164	31886
162	6206	31868
163	6241	31814
164	6280	31783
165	6320	31756
166	6363	31743
167	6400	31696
168	6434	31641
