iter	MultiClassOneVsAll
0	0.6422385975
1	0.5972417898
2	0.5587837221
3	0.523887877
4	0.4924444848
5	0.4646873497
6	0.4391487482
7	0.4156542176
8	0.3947447735
9	0.3752422804
10	0.3573897384
11	0.3412407167
12	0.3269830505
13	0.3130365699
14	0.3004927832
15	0.2889203032
16	0.277891451
17	0.2679652424
18	0.2590377277
19	0.2504774109
20	0.2423298883
21	0.2352124832
22	0.2282793435
23	0.2219487831
24	0.2155205996
25	0.2094707185
26	0.2043368294
27	0.1991336187
28	0.1946010321
29	0.1897768785
30	0.1853909747
31	0.1811888804
32	0.1776453841
33	0.1741114807
34	0.1708079662
35	0.1675310848
36	0.1646270616
37	0.1617244716
38	0.1586571457
39	0.1557885536
40	0.152562282
41	0.1500780033
42	0.1478998381
43	0.1454853963
44	0.1429824239
45	0.1410932345
46	0.138828691
47	0.1370926458
48	0.1352292352
49	0.1334737362
50	0.1316624509
51	0.1298694998
52	0.1280141715
53	0.1264229019
54	0.1247318926
55	0.1232540043
56	0.1216368938
57	0.1200012681
58	0.1187758956
59	0.1172586131
60	0.1159579959
61	0.1147717961
62	0.1134932044
63	0.1123332274
64	0.1110722078
65	0.1099896886
66	0.1088163952
67	0.1076378038
68	0.1063452012
69	0.1051651286
70	0.1041867035
71	0.103262538
72	0.1023401898
73	0.1013662726
74	0.1004665543
75	0.09948681258
76	0.09863685653
77	0.09780037493
78	0.09680801288
79	0.09603576099
80	0.09516973689
81	0.09431009138
82	0.09341155591
83	0.09256306894
84	0.09169785917
85	0.09085185091
86	0.09002859467
87	0.08912509251
88	0.08835783951
89	0.08760374143
90	0.08691960147
91	0.08604473206
92	0.08528396648
93	0.08453662832
94	0.08379564467
95	0.08320448918
96	0.08254290143
97	0.08187378437
98	0.08127787981
99	0.08070650981
100	0.08023247777
101	0.07952302301
102	0.07879861073
103	0.07830257186
104	0.07780629798
105	0.07717562222
106	0.07661985056
107	0.07613953794
108	0.07548741585
109	0.07492752798
110	0.07443865443
111	0.07394568229
112	0.07349408278
113	0.07295130376
114	0.07239006672
115	0.07192043595
116	0.07145376221
117	0.07105679102
118	0.07057844466
119	0.07012989878
120	0.06972541466
121	0.06937149062
122	0.06895360177
123	0.06851817122
124	0.06803305749
125	0.06768578827
126	0.06730462225
127	0.06687461876
128	0.06645056905
129	0.06601243925
130	0.06563488313
131	0.06528541039
132	0.06494756479
133	0.06460958167
134	0.0642425336
135	0.06396204862
136	0.06360674054
137	0.06326717928
138	0.06286218415
139	0.06250104147
140	0.06215328827
141	0.06185918329
142	0.06152038123
143	0.06124275574
144	0.06094638864
145	0.06060001566
146	0.0603204381
147	0.06000579657
148	0.05970032144
149	0.05939332183
150	0.05913929003
151	0.05887445303
152	0.05858457926
153	0.05823989643
154	0.05798967377
155	0.05767234142
156	0.0573752972
157	0.0570593368
158	0.05677260204
159	0.05648672829
160	0.0562107396
161	0.05588952243
162	0.05564423268
163	0.05536709444
164	0.05508917476
165	0.05488699017
166	0.05464014682
167	0.05441071734
168	0.05415268155
169	0.05392126492
170	0.05363480315
171	0.05338466398
172	0.05314337306
173	0.05287609295
174	0.05256084762
175	0.05231863332
176	0.05208692502
177	0.0518763256
178	0.05158287362
179	0.05132658677
180	0.05111456545
181	0.05093515482
182	0.05068960785
183	0.05045298541
184	0.05023063241
185	0.05005505866
186	0.04980932021
187	0.04957919658
188	0.04936013769
189	0.04917798265
190	0.04884795709
191	0.04870360157
192	0.04848451159
193	0.04829258716
194	0.04811040321
195	0.04788476947
196	0.04767770011
197	0.04746027242
198	0.04729788097
199	0.0471185908
200	0.04695021515
201	0.04679698205
202	0.04664446857
203	0.04646347862
204	0.04621001937
205	0.04599762435
206	0.04576757644
207	0.04556979378
208	0.04537852529
209	0.04520684175
210	0.04506463955
211	0.04490363193
212	0.04474179754
213	0.04455160499
214	0.04437295119
215	0.04420347498
216	0.04399181064
217	0.04376356787
218	0.04359725603
219	0.0434570722
220	0.04332709442
221	0.04313818664
222	0.04298221196
223	0.04280981359
224	0.04264736443
225	0.04252478861
226	0.04240928014
227	0.04227438337
228	0.04213845888
229	0.04199407893
230	0.04183322451
231	0.04167559185
232	0.04151882849
233	0.04136935777
234	0.04122981978
235	0.04109113474
236	0.0409367122
237	0.04077510906
238	0.0406560427
239	0.04048210296
240	0.04038505945
241	0.04022865597
242	0.04008921004
243	0.03996499935
244	0.03985206527
245	0.03974318464
246	0.03962786354
247	0.0394981181
248	0.03938742001
249	0.03926258762
250	0.03914676715
251	0.03901878014
252	0.0388753684
253	0.03874179539
254	0.03856496705
255	0.03844212036
256	0.03832368417
257	0.03822812054
258	0.03809608595
259	0.03795384062
260	0.03785383851
261	0.03774231759
262	0.03757307463
263	0.03742491395
264	0.03729622352
265	0.03719590824
266	0.03708832997
267	0.03700034521
268	0.03687191731
269	0.03677020441
270	0.03666493841
271	0.03657657548
272	0.03645140841
273	0.03635321406
274	0.03624661797
275	0.03613723611
276	0.03602472189
277	0.03592278838
278	0.03581547248
279	0.03569378339
280	0.03559493893
281	0.0354851254
282	0.03541020542
283	0.03530356151
284	0.03521601794
285	0.03511791989
286	0.0350041889
287	0.03493245295
288	0.03484751011
289	0.03474575577
290	0.03466547846
291	0.03453593497
292	0.03445490193
293	0.0343439003
294	0.03426798645
295	0.03416905972
296	0.03407667564
297	0.03398551909
298	0.03391069821
299	0.0338142974
300	0.03371218938
301	0.0336369051
302	0.03352909859
303	0.03343105663
304	0.03333861594
305	0.03324705629
306	0.03318540745
307	0.03310288061
308	0.03302705267
309	0.03291592228
310	0.03282425569
311	0.03270934722
312	0.03265591255
313	0.03255262142
314	0.03248798505
315	0.03242636477
316	0.03232028428
317	0.03226897334
318	0.0322020765
319	0.03209881309
320	0.03200567942
321	0.03192327077
322	0.03185612573
323	0.0317784332
324	0.03171021783
325	0.03162251513
326	0.03151131271
327	0.03144035087
328	0.03136941929
329	0.03128637877
330	0.03120778857
331	0.03112585834
332	0.03110366707
333	0.031050106
334	0.03094944499
335	0.03087765061
336	0.03079967832
337	0.030717307
338	0.0306638636
339	0.03059872833
340	0.03052702189
341	0.03047598103
342	0.0304323604
343	0.0303777251
344	0.0303118876
345	0.0302590403
346	0.03021408278
347	0.03013317174
348	0.03006731276
349	0.03002001466
350	0.02996540999
351	0.02988942353
352	0.02983541329
353	0.02974855526
354	0.02968195974
355	0.02963359724
356	0.02957332828
357	0.02950779839
358	0.02944085878
359	0.0293681372
360	0.02928089001
361	0.02921178971
362	0.02914367835
363	0.02910657152
364	0.0290710475
365	0.02899588218
366	0.02892304655
367	0.02886277498
368	0.02878970996
369	0.02872614741
370	0.02867599097
371	0.028624269
372	0.02858063609
373	0.02851550239
374	0.02846873171
375	0.02842412159
376	0.02835580741
377	0.02829726239
378	0.02825106281
379	0.02817617534
380	0.02812647568
381	0.02807139327
382	0.0280001258
383	0.02794247571
384	0.0278571483
385	0.02779570236
386	0.02775314705
387	0.02770572265
388	0.0276558172
389	0.0276176279
390	0.0275826801
391	0.02751676543
392	0.02745627306
393	0.0274093068
394	0.02736651958
395	0.02731036622
396	0.02726093096
397	0.02720642789
398	0.0271395191
399	0.02708724698
400	0.02702750221
401	0.02699218664
402	0.02696254126
403	0.02692129364
404	0.02685896078
405	0.02681657736
406	0.02675666172
407	0.02670216218
408	0.02662625021
409	0.0265948709
410	0.02653212482
411	0.02648219187
412	0.02643424212
413	0.02638227481
414	0.02635074538
415	0.02628907168
416	0.02625557684
417	0.02622656159
418	0.02619110907
419	0.02615828391
420	0.02611148909
421	0.02606475179
422	0.02599371824
423	0.02595939795
