iter	Passed	Remaining
0	61	61068
1	65	32465
2	68	22757
3	71	17913
4	75	14926
5	78	13000
6	81	11547
7	84	10444
8	87	9613
9	90	8910
10	92	8316
11	95	7844
12	97	7419
13	100	7055
14	103	6765
15	105	6494
16	108	6250
17	110	6047
18	113	5849
19	116	5718
20	119	5554
21	121	5408
22	124	5281
23	126	5156
24	129	5040
25	131	4943
26	134	4842
27	136	4751
28	139	4670
29	141	4590
30	144	4513
31	146	4442
32	149	4374
33	151	4308
34	153	4244
35	156	4195
36	159	4140
37	161	4085
38	164	4044
39	166	3998
40	169	3954
41	171	3915
42	174	3873
43	176	3832
44	179	3800
45	181	3764
46	183	3728
47	187	3713
48	191	3711
49	195	3720
50	198	3699
51	203	3705
52	208	3724
53	215	3770
54	218	3758
55	221	3738
56	224	3716
57	229	3724
58	233	3723
59	235	3697
60	240	3709
61	244	3698
62	247	3673
63	249	3654
64	252	3631
65	254	3607
66	258	3596
67	260	3573
68	263	3549
69	265	3533
70	268	3511
71	270	3492
72	273	3472
73	276	3457
74	278	3440
75	282	3430
76	285	3421
77	288	3405
78	290	3385
79	293	3371
80	295	3355
81	298	3337
82	300	3319
83	303	3305
84	305	3288
85	307	3270
86	310	3258
87	312	3243
88	316	3234
89	318	3224
90	321	3208
91	323	3193
92	326	3182
93	328	3168
94	331	3154
95	333	3144
96	336	3130
97	338	3117
98	341	3106
99	343	3093
100	345	3079
101	348	3067
102	350	3055
103	353	3042
104	355	3030
105	358	3020
106	360	3009
107	362	2997
108	365	2989
109	368	2977
110	370	2965
111	372	2956
112	375	2945
113	377	2934
114	382	2940
115	385	2941
116	390	2945
117	394	2952
118	399	2954
119	403	2957
120	407	2958
121	411	2964
122	416	2967
123	420	2970
124	426	2987
125	434	3015
126	437	3009
127	442	3017
128	447	3023
129	453	3033
130	455	3024
131	460	3025
132	463	3019
133	466	3014
134	468	3004
135	471	2996
136	474	2988
137	477	2980
138	479	2969
139	482	2962
140	484	2954
141	487	2944
142	489	2935
143	492	2927
144	495	2920
145	497	2912
146	500	2903
147	502	2892
148	505	2885
149	507	2876
150	509	2867
151	512	2860
152	515	2851
153	517	2842
154	519	2834
155	522	2825
156	525	2821
157	528	2815
158	530	2807
159	533	2798
160	536	2793
161	538	2785
162	540	2777
163	543	2770
164	546	2764
165	548	2756
166	551	2749
167	553	2741
168	555	2733
169	558	2725
170	560	2717
171	562	2709
172	565	2702
173	567	2695
174	570	2687
175	572	2680
176	575	2676
177	580	2678
178	584	2680
179	588	2680
180	593	2683
181	597	2685
182	601	2685
183	605	2685
184	609	2686
185	614	2688
186	618	2689
187	621	2683
188	623	2676
189	626	2669
190	629	2667
191	633	2666
192	636	2662
193	639	2656
194	641	2649
195	644	2642
196	646	2635
197	649	2630
198	652	2624
199	654	2617
200	656	2610
201	659	2605
202	661	2598
203	664	2592
204	666	2585
205	669	2579
206	671	2572
207	673	2566
208	676	2560
209	678	2554
210	681	2548
211	684	2542
212	686	2536
213	688	2530
214	691	2524
215	693	2518
216	696	2512
217	699	2508
218	701	2502
219	704	2496
220	706	2491
221	709	2485
222	711	2478
223	714	2473
224	716	2467
225	718	2461
226	721	2456
227	724	2451
228	726	2445
229	728	2439
230	731	2433
231	733	2427
232	735	2422
233	738	2417
234	740	2411
235	743	2405
236	745	2401
237	748	2395
238	750	2389
239	753	2384
240	755	2380
241	758	2375
242	761	2370
243	763	2365
244	765	2359
245	769	2359
246	773	2359
247	778	2359
248	782	2360
249	785	2357
250	788	2352
251	791	2349
252	796	2350
253	798	2346
254	801	2340
255	803	2335
256	806	2330
257	808	2326
258	812	2325
259	816	2322
260	818	2317
261	820	2312
262	823	2308
263	826	2303
264	829	2299
265	831	2294
266	834	2289
267	836	2284
268	838	2279
269	841	2274
270	843	2269
271	846	2265
272	848	2259
273	850	2254
274	853	2250
275	855	2245
276	858	2240
277	861	2236
278	863	2231
279	865	2226
280	868	2222
281	871	2217
282	873	2212
283	876	2208
284	878	2203
285	881	2201
286	884	2196
287	886	2192
288	888	2187
289	891	2182
290	893	2178
291	896	2173
292	898	2168
293	901	2164
294	903	2159
295	906	2154
296	908	2151
297	911	2146
298	913	2141
299	916	2137
300	918	2132
301	920	2128
302	923	2124
303	926	2120
304	928	2115
305	931	2111
306	933	2107
307	935	2102
308	938	2098
309	940	2094
310	943	2089
311	945	2085
312	948	2081
313	950	2077
314	953	2073
315	955	2068
316	958	2064
317	960	2059
318	964	2059
319	969	2059
320	973	2058
321	977	2058
322	981	2056
323	985	2056
324	989	2055
325	994	2056
326	998	2055
327	1001	2051
328	1003	2047
329	1008	2047
330	1011	2044
331	1014	2040
332	1016	2036
333	1019	2032
334	1021	2027
335	1024	2024
336	1026	2020
337	1029	2015
338	1032	2012
339	1034	2008
340	1037	2004
341	1039	2000
342	1042	1996
343	1044	1991
344	1047	1988
345	1049	1983
346	1051	1979
347	1054	1975
348	1056	1971
349	1059	1967
350	1061	1963
