iter	RMSE
0	77232.73341
1	75175.96727
2	73096.95505
3	71114.66599
4	69394.86015
5	67533.87351
6	65703.29489
7	64045.2512
8	62421.81406
9	60863.44642
10	59396.1929
11	58153.22164
12	56908.93798
13	55584.27756
14	54291.3728
15	53107.23694
16	51945.24558
17	50891.48812
18	49821.59406
19	48712.05341
20	47710.39494
21	46782.21452
22	45821.76918
23	44950.01922
24	44114.5122
25	43309.9614
26	42577.83364
27	41860.81673
28	41213.55369
29	40497.06342
30	39812.34313
31	39140.37364
32	38549.53996
33	37921.85785
34	37412.19069
35	36883.68341
36	36336.64853
37	35760.82718
38	35279.80265
39	34740.828
40	34241.03056
41	33800.6361
42	33396.18311
43	33015.74268
44	32596.53353
45	32218.09893
46	31882.18966
47	31507.95634
48	31118.55896
49	30783.98534
50	30432.31265
51	30158.07425
52	29840.31197
53	29566.74612
54	29210.66706
55	28928.82387
56	28652.15484
57	28407.59489
58	28187.77616
59	27893.86149
60	27611.50501
61	27369.00056
62	27130.76603
63	26903.22793
64	26673.07864
65	26437.01925
66	26235.47279
67	26006.41883
68	25836.90491
69	25626.63031
70	25481.73106
71	25316.05823
72	25136.01667
73	24974.98342
74	24789.98848
75	24597.5273
76	24436.1322
77	24281.09469
78	24155.39835
79	24009.69347
80	23880.87093
81	23752.05236
82	23575.65591
83	23457.73728
84	23319.9255
85	23208.41721
86	23075.24494
87	22936.37157
88	22828.96698
89	22720.76741
90	22619.16889
91	22500.30417
92	22407.44002
93	22276.00019
94	22189.1004
95	22085.73455
96	21956.86524
97	21847.12151
98	21767.74404
99	21664.37808
100	21586.60461
101	21503.10951
102	21398.72932
103	21313.66922
104	21227.76602
105	21154.67017
106	21068.91918
107	21004.51222
108	20934.0856
109	20861.362
110	20763.53123
111	20670.37846
112	20597.62582
113	20508.41403
114	20442.59735
115	20355.09312
116	20268.90569
117	20219.25427
118	20183.05794
119	20129.65695
120	20070.41075
121	20010.31031
122	19948.90887
123	19900.39328
124	19851.27027
125	19787.55476
126	19726.09918
127	19657.69419
128	19598.99047
129	19548.6006
130	19495.8256
131	19442.19726
132	19371.65933
133	19313.08918
134	19264.82314
135	19211.77588
136	19151.84145
137	19110.61599
138	19054.54153
139	19011.14784
140	18960.88517
141	18895.17367
142	18847.0914
143	18794.44448
144	18732.00036
145	18674.26986
146	18617.19466
147	18578.39744
148	18547.6903
149	18502.13712
150	18463.90826
151	18422.22243
152	18373.4692
153	18347.21628
154	18303.61813
155	18254.26134
156	18231.9534
157	18178.65927
158	18135.45634
159	18106.49487
160	18071.80855
161	18038.32904
162	18004.10568
163	17967.05386
164	17926.96685
165	17877.88388
166	17839.66137
167	17807.0624
168	17774.63092
169	17747.48498
170	17707.54938
171	17673.68704
172	17642.30457
173	17599.20664
174	17559.88597
175	17528.50751
176	17514.68482
177	17492.86153
178	17446.79927
179	17422.01701
180	17389.24737
181	17367.05286
182	17338.21512
183	17299.35231
184	17278.00848
185	17254.21844
186	17223.39137
187	17181.75139
188	17151.64655
189	17125.7582
190	17083.55783
191	17046.38172
