iter	Passed	Remaining
0	127	127613
1	191	95449
2	246	81817
3	298	74333
4	353	70403
5	408	67750
6	459	65208
7	515	63918
8	570	62778
9	631	62500
10	686	61718
11	742	61120
12	803	61013
13	866	61039
14	921	60511
15	974	59952
16	1033	59745
17	1094	59685
18	1153	59540
19	1206	59136
20	1261	58819
21	1320	58713
22	1382	58705
23	1432	58255
24	1487	57996
25	1540	57707
26	1591	57345
27	1641	56972
28	1688	56550
29	1743	56378
30	1795	56125
31	1843	55754
32	1891	55428
33	1951	55445
34	2000	55167
35	2047	54817
36	2096	54576
37	2155	54569
38	2204	54320
39	2252	54059
40	2301	53828
41	2361	53867
42	2410	53657
43	2460	53452
44	2509	53254
45	2570	53319
46	2621	53159
47	2689	53340
48	2765	53673
49	2841	53980
50	2909	54130
51	2991	54539
52	3056	54606
53	3123	54725
54	3191	54842
55	3270	55128
56	3342	55289
57	3413	55436
58	3489	55660
59	3558	55742
60	3611	55593
61	3678	55654
62	3740	55626
63	3814	55784
64	3881	55837
65	3949	55889
66	4018	55964
67	4086	56005
68	4155	56066
69	4225	56143
70	4294	56197
71	4367	56295
72	4433	56300
73	4497	56281
74	4562	56269
75	4621	56191
76	4674	56030
77	4725	55862
78	4775	55674
79	4829	55539
80	4917	55795
81	4979	55741
82	5029	55567
83	5092	55528
84	5145	55394
85	5193	55198
86	5243	55023
87	5291	54843
88	5351	54779
89	5405	54658
90	5457	54518
91	5506	54346
92	5554	54173
93	5611	54088
94	5664	53963
95	5735	54010
96	5807	54064
97	5877	54093
98	5945	54107
99	6015	54138
100	6082	54142
101	6154	54187
102	6229	54254
103	6300	54284
104	6380	54389
105	6437	54295
106	6499	54245
107	6558	54165
108	6613	54059
109	6665	53930
110	6720	53821
111	6770	53680
112	6819	53528
113	6869	53387
114	6922	53271
115	6968	53105
116	7015	52945
117	7062	52785
118	7112	52652
119	7158	52497
120	7207	52362
121	7258	52237
122	7310	52126
123	7361	52004
124	7422	51954
125	7486	51930
126	7545	51870
127	7599	51773
128	7651	51663
129	7702	51545
130	7756	51451
131	7805	51325
132	7858	51226
133	7905	51089
134	7952	50955
135	8003	50848
136	8055	50746
137	8103	50619
138	8150	50485
139	8197	50356
140	8243	50219
141	8293	50109
142	8342	49995
143	8390	49876
144	8436	49747
145	8495	49693
146	8555	49646
147	8608	49556
148	8663	49480
149	8719	49411
150	8778	49354
151	8834	49285
152	8883	49178
153	8934	49081
154	8993	49028
155	9044	48933
156	9091	48814
157	9146	48743
158	9207	48698
159	9258	48605
160	9315	48542
161	9379	48521
162	9428	48415
163	9484	48348
164	9561	48386
165	9626	48365
166	9688	48325
167	9741	48242
168	9793	48155
169	9844	48065
170	9896	47977
171	9947	47888
172	10000	47805
173	10052	47720
174	10114	47681
175	10166	47599
176	10221	47524
177	10279	47468
178	10334	47401
179	10387	47320
180	10448	47277
181	10513	47253
182	10576	47218
183	10631	47147
184	10686	47080
185	10757	47077
186	10821	47047
187	10880	46993
188	10937	46932
189	10992	46864
190	11041	46768
191	11089	46666
192	11135	46561
193	11183	46464
194	11238	46394
195	11286	46297
196	11333	46197
197	11387	46124
198	11435	46028
199	11487	45951
200	11535	45856
201	11583	45758
202	11632	45669
203	11679	45573
204	11732	45497
205	11780	45405
206	11825	45304
207	11872	45205
208	11918	45108
209	11969	45027
210	12017	44938
211	12067	44853
212	12115	44764
213	12162	44671
214	12212	44591
215	12266	44523
216	12318	44449
217	12364	44353
218	12411	44261
219	12464	44193
220	12513	44108
221	12562	44023
222	12608	43933
223	12657	43848
224	12710	43781
225	12762	43707
226	12810	43623
227	12859	43543
228	12909	43463
229	12962	43396
230	13011	43315
231	13057	43223
232	13104	43136
233	13151	43052
234	13202	42979
235	13252	42901
236	13301	42823
237	13347	42734
238	13395	42651
239	13445	42578
240	13490	42486
241	13536	42399
242	13583	42316
243	13628	42225
244	13682	42163
245	13734	42095
246	13788	42035
247	13834	41951
248	13886	41881
249	13941	41825
250	13996	41765
251	14051	41707
252	14099	41628
253	14149	41557
254	14197	41480
255	14250	41414
256	14297	41333
257	14347	41264
258	14398	41193
259	14445	41114
260	14491	41031
261	14535	40944
262	14592	40891
263	14641	40818
264	14687	40738
265	14741	40677
266	14789	40602
267	14844	40545
268	14893	40472
269	14941	40396
270	14987	40316
271	15033	40237
272	15086	40175
273	15136	40106
274	15185	40034
275	15233	39960
276	15285	39896
277	15337	39832
278	15387	39763
279	15436	39693
280	15483	39618
281	15530	39542
282	15587	39491
283	15636	39420
284	15685	39352
285	15737	39288
286	15786	39217
287	15836	39152
288	15883	39076
289	15929	38998
290	15977	38927
291	16023	38851
292	16074	38788
293	16126	38724
294	16171	38646
295	16219	38575
296	16268	38508
297	16325	38458
298	16375	38391
299	16421	38316
300	16472	38254
301	16523	38189
302	16573	38123
303	16621	38054
304	16673	37993
305	16719	37919
306	16767	37849
307	16822	37796
308	16871	37729
309	16919	37659
310	16971	37599
311	17019	37530
312	17076	37480
313	17122	37408
314	17171	37340
315	17222	37278
316	17269	37208
317	17319	37143
318	17372	37086
319	17423	37024
320	17475	36966
321	17523	36897
322	17573	36834
323	17621	36765
324	17672	36704
325	17723	36643
326	17777	36588
327	17828	36527
328	17876	36458
329	17921	36385
330	17968	36317
331	18020	36257
332	18069	36192
333	18120	36132
334	18168	36064
335	18221	36010
336	18271	35947
337	18321	35883
338	18365	35810
339	18413	35742
340	18467	35689
341	18519	35631
342	18565	35560
343	18612	35492
344	18662	35432
345	18713	35370
346	18765	35314
347	18812	35245
348	18857	35175
349	18904	35107
350	18953	35044
351	19000	34979
352	19042	34902
353	19088	34834
354	19134	34764
355	19186	34708
356	19234	34643
357	19281	34577
358	19328	34510
359	19376	34447
360	19427	34387
361	19476	34326
362	19521	34256
363	19568	34191
364	19612	34120
365	19667	34068
366	19712	33999
367	19759	33935
368	19807	33870
369	19859	33815
370	19906	33749
371	19952	33682
372	20003	33625
373	20049	33559
374	20094	33490
375	20142	33427
376	20191	33366
377	20238	33301
378	20286	33240
379	20336	33180
380	20389	33126
381	20439	33067
382	20484	33000
383	20529	32933
384	20580	32875
385	20630	32816
386	20686	32767
387	20743	32719
388	20814	32693
389	20874	32650
390	20931	32601
391	20980	32541
392	21028	32478
393	21074	32413
394	21125	32356
395	21172	32293
396	21221	32232
397	21276	32181
398	21326	32123
399	21381	32071
400	21429	32010
401	21480	31952
402	21529	31894
403	21582	31839
404	21634	31783
405	21685	31727
406	21731	31663
407	21790	31617
408	21838	31556
409	21883	31490
410	21930	31428
411	21980	31369
412	22025	31305
413	22072	31242
414	22117	31177
415	22164	31115
416	22213	31056
417	22261	30995
418	22310	30936
419	22358	30876
420	22408	30818
421	22460	30763
422	22508	30702
423	22560	30648
424	22608	30588
425	22657	30529
426	22710	30475
427	22762	30420
428	22814	30366
429	22868	30314
430	22928	30269
431	22986	30222
432	23036	30165
433	23082	30103
434	23130	30042
435	23185	29992
436	23234	29933
437	23287	29879
438	23334	29818
439	23386	29764
440	23441	29713
441	23491	29657
442	23546	29606
443	23598	29551
444	23650	29496
445	23699	29438
446	23743	29373
447	23792	29315
448	23844	29261
449	23893	29203
450	23943	29146
451	23993	29089
452	24046	29035
453	24095	28977
454	24142	28918
455	24189	28857
456	24237	28798
457	24286	28741
458	24336	28684
459	24386	28627
460	24433	28567
461	24485	28513
462	24535	28457
463	24583	28397
464	24632	28340
465	24676	28277
466	24728	28222
467	24776	28165
468	24826	28108
469	24879	28055
470	24925	27995
471	24974	27937
472	25021	27878
473	25071	27821
474	25117	27761
475	25165	27703
476	25213	27645
477	25258	27583
478	25309	27528
479	25357	27470
480	25409	27417
481	25461	27363
482	25512	27308
483	25561	27251
484	25607	27191
485	25651	27129
486	25701	27074
487	25748	27015
488	25795	26956
489	25842	26896
490	25885	26834
491	25936	26780
492	25985	26723
493	26031	26663
494	26078	26604
495	26122	26544
496	26172	26488
497	26224	26435
498	26272	26377
499	26317	26317
500	26366	26260
501	26418	26208
502	26466	26151
503	26512	26091
504	26559	26033
505	26605	25974
506	26653	25917
507	26707	25866
508	26752	25806
509	26801	25750
510	26855	25698
511	26907	25646
512	26956	25590
513	27004	25533
514	27049	25474
515	27101	25420
516	27151	25365
517	27196	25306
518	27242	25247
519	27290	25191
520	27343	25139
521	27391	25082
522	27442	25028
523	27488	24970
524	27535	24913
525	27592	24865
526	27643	24810
527	27691	24754
528	27742	24701
529	27790	24644
530	27841	24590
531	27888	24533
532	27940	24480
533	27988	24424
534	28032	24365
535	28081	24309
536	28129	24253
537	28180	24199
538	28225	24140
539	28275	24086
540	28330	24036
541	28382	23983
542	28432	23929
543	28479	23872
544	28526	23815
545	28582	23766
546	28631	23710
547	28678	23654
548	28726	23598
549	28774	23543
550	28823	23488
551	28872	23432
552	28922	23378
553	28968	23321
554	29016	23265
555	29069	23213
556	29120	23160
557	29168	23104
558	29219	23051
559	29269	22997
560	29323	22946
561	29377	22895
562	29430	22843
563	29477	22787
564	29526	22732
565	29578	22680
566	29632	22629
567	29679	22573
568	29728	22518
569	29779	22465
570	29829	22411
571	29877	22356
572	29930	22303
573	29982	22252
574	30031	22196
575	30080	22142
576	30125	22084
577	30175	22031
578	30224	21976
579	30274	21922
580	30322	21867
581	30369	21811
