iter	RMSE
0	1.357095135
1	1.304706836
2	1.251260176
3	1.20428576
4	1.157351619
5	1.113119281
6	1.073847383
7	1.031616851
8	0.9975635349
9	0.9654636433
10	0.9311173227
11	0.9020673678
12	0.8717064168
13	0.8436894713
14	0.8175712568
15	0.7977502391
16	0.7746433896
17	0.7554804143
18	0.7372886505
19	0.7198854141
20	0.7033406678
21	0.6860692924
22	0.6688679317
23	0.6551805664
24	0.6429023171
25	0.625962358
26	0.6164501966
27	0.6065667901
28	0.5951884855
29	0.5863392465
30	0.5784907592
31	0.5673855274
32	0.5605986468
33	0.5547166655
34	0.5489168507
35	0.534748669
36	0.5224566251
37	0.5100244251
38	0.5011196938
39	0.496060373
40	0.4881972174
41	0.4839792117
42	0.4770829172
43	0.4678874717
44	0.4604603408
45	0.4571474434
46	0.451806178
47	0.4489467753
48	0.4430184434
49	0.4374407559
50	0.4341177189
51	0.4307280002
52	0.4286709839
53	0.4255417923
54	0.4203352361
55	0.4175004529
56	0.4146556346
57	0.4118840256
58	0.4075658209
59	0.4050820829
60	0.4032349052
61	0.3995710411
62	0.39739849
63	0.3959598876
64	0.3939058216
65	0.3912586756
66	0.3881087887
67	0.3850165942
68	0.3838803991
69	0.3821036358
70	0.3796066651
71	0.3786105766
72	0.3748136492
73	0.3722840502
74	0.3705264199
75	0.368920191
76	0.3657907691
77	0.3643930189
78	0.3624831915
79	0.3614667791
80	0.360351228
81	0.3590442179
82	0.3563943836
83	0.3549043625
84	0.3535050153
85	0.3509845678
86	0.3486010534
87	0.3470566197
88	0.3462846588
89	0.3453699616
90	0.3446209729
91	0.3438412541
92	0.3423905714
93	0.3414673516
94	0.3402461716
95	0.3392189013
96	0.337904787
97	0.3374906807
98	0.3363781612
99	0.3349622974
100	0.3331570362
101	0.3321179385
102	0.3315839812
103	0.330669143
104	0.3299498407
105	0.3293407618
106	0.3288856799
107	0.3282404563
108	0.327513734
109	0.3266647671
110	0.3261731562
111	0.3255851696
112	0.3243325424
113	0.3236182987
114	0.3221437329
115	0.3217492208
116	0.3210155771
117	0.3199874208
118	0.319605549
119	0.3191499556
120	0.3182290229
121	0.3177845454
122	0.3172849646
123	0.3168675679
124	0.3165870536
125	0.3160119654
126	0.3148168679
127	0.3139368567
128	0.3136413636
129	0.3133474813
130	0.3129562063
131	0.3126449993
132	0.311825727
133	0.3114071021
134	0.3108887283
135	0.3100052116
136	0.3096302098
137	0.3091953768
138	0.3083097784
139	0.308064794
140	0.3071821958
141	0.3065501869
142	0.3061172061
143	0.3058259382
144	0.3051170177
145	0.3048779262
146	0.3044793254
147	0.3041058762
148	0.303649541
149	0.3030797175
150	0.3026292771
151	0.3019912684
152	0.3014988408
153	0.3011073862
154	0.3003281326
155	0.2998939062
156	0.299684694
157	0.2992652233
158	0.298965661
159	0.2985355176
160	0.2981832834
161	0.2977374755
162	0.2975847706
163	0.2972786013
164	0.2966484872
165	0.2961801045
166	0.2957907127
167	0.2954547201
168	0.2950464448
169	0.2946293135
170	0.2943524166
171	0.2940301314
172	0.293758158
173	0.2935125333
174	0.2931622301
175	0.2928509375
176	0.292437353
177	0.2921172626
178	0.2918501222
179	0.2914856165
180	0.2911838047
181	0.290755744
182	0.2905153152
183	0.290151189
184	0.2898488824
185	0.2895536107
186	0.2893528526
187	0.2890922575
188	0.2888479934
189	0.2886549533
190	0.2884569266
